Client,Q1,Q2,Q3
User_1,Нейтрален(на),Очень быстро,9
User_2,Очень удовлетворен(а),Средне,8
User_3,Нейтрален(на),Довольно быстро,7
User_4,Очень недоволен(а),Средне,8
User_5,Нейтрален(на),Очень быстро,8
User_6,Удовлетворен(а),Средне,8
User_7,Очень удовлетворен(а),Очень медленно,7
User_8,Нейтрален(на),Средне,9
User_9,Очень удовлетворен(а),Средне,9
User_10,Очень недоволен(а),Медленно,8
User_11,Нейтрален(на),Медленно,3
User_12,Недоволен(а),Очень медленно,5
User_13,Очень удовлетворен(а),Средне,8
User_14,Удовлетворен(а),Средне,7
User_15,Удовлетворен(а),Медленно,9
User_16,Нейтрален(на),Средне,9
User_17,Очень удовлетворен(а),Довольно быстро,5
User_18,Очень удовлетворен(а),Средне,10
User_19,Удовлетворен(а),Средне,8
User_20,Удовлетворен(а),Очень быстро,9
User_21,Очень удовлетворен(а),Довольно быстро,9
User_22,Нейтрален(на),Средне,8
User_23,Нейтрален(на),Средне,7
User_24,Очень удовлетворен(а),Медленно,7
User_25,Нейтрален(на),Очень медленно,3
User_26,Недоволен(а),Медленно,9
User_27,Нейтрален(на),Средне,5
User_28,Нейтрален(на),Средне,9
User_29,Очень удовлетворен(а),Средне,9
User_30,Удовлетворен(а),Средне,3
