Client,Q1,Q2,Q3
User_1,Недоволен(а),Довольно быстро,4
User_2,Очень удовлетворен(а),Медленно,6
User_3,Недоволен(а),Очень медленно,4
User_4,Нейтрален(на),Очень медленно,9
User_5,Очень удовлетворен(а),Очень медленно,9
User_6,Недоволен(а),Медленно,1
User_7,Недоволен(а),Очень быстро,6
User_8,Нейтрален(на),Медленно,6
User_9,Очень недоволен(а),Медленно,5
User_10,Недоволен(а),Очень медленно,9
User_11,Недоволен(а),Довольно быстро,6
User_12,Удовлетворен(а),Очень медленно,8
User_13,Нейтрален(на),Медленно,4
User_14,Нейтрален(на),Средне,6
User_15,Недоволен(а),Медленно,6
User_16,Очень удовлетворен(а),Медленно,7
User_17,Очень удовлетворен(а),Очень медленно,7
User_18,Нейтрален(на),Довольно быстро,5
User_19,Очень удовлетворен(а),Очень быстро,10
User_20,Недоволен(а),Довольно быстро,9
User_21,Очень недоволен(а),Средне,9
User_22,Нейтрален(на),Медленно,1
User_23,Недоволен(а),Очень медленно,6
User_24,Недоволен(а),Медленно,6
User_25,Недоволен(а),Средне,3
User_26,Удовлетворен(а),Медленно,7
User_27,Нейтрален(на),Медленно,3
User_28,Недоволен(а),Медленно,6
User_29,Очень удовлетворен(а),Медленно,6
User_30,Недоволен(а),Медленно,4
